org_img,image,event,date,second,milisecond,tweek,f_min<2kHz,tweek_sign,cluster
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-T4.jpg,4,20141130_001001,108,936,1,1,4,3
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S1.jpg,1,20141130_001001,130,17,0,0,0,1
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S2.jpg,2,20141130_001001,130,143,0,1,0,4
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S3.jpg,3,20141130_001001,130,386,0,1,0,5
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S4.jpg,4,20141130_001001,130,410,0,1,0,5
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S5.jpg,5,20141130_001001,130,495,0,1,0,4
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S6.jpg,6,20141130_001001,130,576,0,1,0,5
ch2_20141130_001001_132_s130,ch2_20141130_001001_132_s130-S7.jpg,7,20141130_001001,130,647,0,0,0,4
ch2_20141130_001001_132_s22,ch2_20141130_001001_132_s22-S1.jpg,1,20141130_001001,22,158,0,0,0,2
ch2_20141130_001001_132_s22,ch2_20141130_001001_132_s22-S2.jpg,2,20141130_001001,22,595,0,0,0,1
ch2_20141130_001001_132_s22,ch2_20141130_001001_132_s22-T1.jpg,1,20141130_001001,22,600,1,1,4,3
ch2_20141130_001001_132_s22,ch2_20141130_001001_132_s22-S3.jpg,3,20141130_001001,22,957,0,1,0,5
ch2_20141130_001001_132_s4,ch2_20141130_001001_132_s4-S1.jpg,1,20141130_001001,4,985,0,1,0,6
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S1.jpg,1,20141130_001001,44,31,0,0,0,0
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S2.jpg,2,20141130_001001,44,99,0,0,0,5
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S3.jpg,3,20141130_001001,44,110,0,0,0,0
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S4.jpg,4,20141130_001001,44,279,0,0,0,5
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-T1.jpg,1,20141130_001001,44,324,1,1,4,3
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-T2.jpg,2,20141130_001001,44,386,1,1,4,3
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S6.jpg,6,20141130_001001,44,422,0,0,0,5
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S7.jpg,7,20141130_001001,44,464,0,0,0,0
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S8.jpg,8,20141130_001001,44,490,0,0,0,5
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S9.jpg,9,20141130_001001,44,620,0,0,0,2
ch2_20141130_001001_132_s44,ch2_20141130_001001_132_s44-S10.jpg,10,20141130_001001,44,795,0,0,0,2
ch2_20141130_001001_132_s64,ch2_20141130_001001_132_s64-S1.jpg,1,20141130_001001,64,234,0,0,0,1
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-T1.jpg,1,20141130_001001,71,5,1,1,4,3
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S1.jpg,1,20141130_001001,71,77,0,1,0,5
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-T2.jpg,2,20141130_001001,71,244,1,1,4,3
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-T3.jpg,3,20141130_001001,71,268,1,0,3,3
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S2.jpg,2,20141130_001001,71,368,0,1,0,0
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S3.jpg,3,20141130_001001,71,376,0,0,0,0
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S4.jpg,4,20141130_001001,71,444,0,0,0,5
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S5.jpg,5,20141130_001001,71,488,0,0,0,5
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S6.jpg,6,20141130_001001,71,631,0,1,0,1
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S7.jpg,7,20141130_001001,71,764,0,1,0,4
ch2_20141130_001001_132_s71,ch2_20141130_001001_132_s71-S8.jpg,8,20141130_001001,71,970,0,0,0,5
ch2_20141130_001001_132_s72,ch2_20141130_001001_132_s72-S1.jpg,1,20141130_001001,72,117,0,0,0,0
ch2_20141130_001001_132_s72,ch2_20141130_001001_132_s72-S2.jpg,2,20141130_001001,72,352,0,1,0,6
ch2_20141130_001001_132_s72,ch2_20141130_001001_132_s72-S3.jpg,3,20141130_001001,72,354,0,0,0,0
ch2_20141130_001001_132_s72,ch2_20141130_001001_132_s72-T1.jpg,1,20141130_001001,72,616,1,0,4,4
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S1.jpg,1,20141130_001001,78,18,0,0,0,2
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S2.jpg,2,20141130_001001,78,47,0,1,0,1
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S3.jpg,3,20141130_001001,78,444,0,1,0,1
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S4.jpg,4,20141130_001001,78,457,0,1,0,6
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S5.jpg,5,20141130_001001,78,471,0,0,0,5
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-T1.jpg,1,20141130_001001,78,505,1,1,4,3
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S6.jpg,6,20141130_001001,78,583,0,0,0,4
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S7.jpg,7,20141130_001001,78,650,0,1,0,5
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-T2.jpg,2,20141130_001001,78,698,1,1,4,3
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S8.jpg,8,20141130_001001,78,739,0,1,0,5
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S9.jpg,9,20141130_001001,78,813,0,1,0,5
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S10.jpg,10,20141130_001001,78,856,0,0,0,0
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S11.jpg,11,20141130_001001,78,880,0,0,0,1
ch2_20141130_001001_132_s78,ch2_20141130_001001_132_s78-S12.jpg,12,20141130_001001,78,978,0,1,0,5
ch2_20141130_001501_274_s1,ch2_20141130_001501_274_s1-S1.jpg,1,20141130_001501,1,278,0,1,0,4
ch2_20141130_001501_274_s1,ch2_20141130_001501_274_s1-S2.jpg,2,20141130_001501,1,370,0,1,0,4
ch2_20141130_001501_274_s1,ch2_20141130_001501_274_s1-S3.jpg,3,20141130_001501,1,416,0,1,0,2
ch2_20141130_001501_274_s1,ch2_20141130_001501_274_s1-S4.jpg,4,20141130_001501,1,464,0,0,0,2
ch2_20141130_001501_274_s119,ch2_20141130_001501_274_s119-S1.jpg,1,20141130_001501,119,53,0,0,0,4
ch2_20141130_001501_274_s119,ch2_20141130_001501_274_s119-S2.jpg,2,20141130_001501,119,127,0,1,0,2
ch2_20141130_001501_274_s119,ch2_20141130_001501_274_s119-S3.jpg,3,20141130_001501,119,471,0,0,0,2
ch2_20141130_001501_274_s119,ch2_20141130_001501_274_s119-S4.jpg,4,20141130_001501,119,552,0,0,0,2
ch2_20141130_001501_274_s131,ch2_20141130_001501_274_s131-S1.jpg,1,20141130_001501,131,405,0,1,0,4
ch2_20141130_001501_274_s131,ch2_20141130_001501_274_s131-S2.jpg,2,20141130_001501,131,572,0,0,0,4
ch2_20141130_001501_274_s131,ch2_20141130_001501_274_s131-S3.jpg,3,20141130_001501,131,966,0,0,0,2
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S1.jpg,1,20141130_001501,14,412,0,0,0,4
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-T1.jpg,1,20141130_001501,14,610,1,0,2,3
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S3.jpg,3,20141130_001501,14,635,0,1,0,5
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S4.jpg,4,20141130_001501,14,649,0,0,0,0
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S5.jpg,5,20141130_001501,14,716,0,0,0,4
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S6.jpg,6,20141130_001501,14,754,0,1,0,4
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S7.jpg,7,20141130_001501,14,809,0,0,0,4
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S8.jpg,8,20141130_001501,14,851,0,0,0,5
ch2_20141130_001501_274_s14,ch2_20141130_001501_274_s14-S9.jpg,9,20141130_001501,14,973,0,0,0,1
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-S1.jpg,1,20141130_001501,26,448,0,1,0,1
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-S2.jpg,2,20141130_001501,26,822,0,1,0,0
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-S3.jpg,3,20141130_001501,26,828,0,1,0,6
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-T1.jpg,1,20141130_001501,26,835,1,1,4,3
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-S5.jpg,5,20141130_001501,26,911,0,0,0,5
ch2_20141130_001501_274_s26,ch2_20141130_001501_274_s26-S6.jpg,6,20141130_001501,26,961,0,0,0,5
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-S1.jpg,1,20141130_001501,27,69,0,1,0,0
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-S2.jpg,2,20141130_001501,27,80,0,0,0,0
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-T1.jpg,1,20141130_001501,27,117,1,1,4,3
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-S4.jpg,4,20141130_001501,27,268,0,0,0,5
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-T2.jpg,2,20141130_001501,27,317,1,1,4,3
ch2_20141130_001501_274_s27,ch2_20141130_001501_274_s27-S5.jpg,5,20141130_001501,27,445,0,0,0,0
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-T1.jpg,1,20141130_001501,39,342,1,1,1,3
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-S2.jpg,2,20141130_001501,39,462,0,1,0,5
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-S3.jpg,3,20141130_001501,39,623,0,1,0,5
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-T2.jpg,2,20141130_001501,39,916,1,1,4,3
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-S4.jpg,4,20141130_001501,39,949,0,1,0,1
ch2_20141130_001501_274_s39,ch2_20141130_001501_274_s39-T3.jpg,3,20141130_001501,39,963,1,0,1,0
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S1.jpg,1,20141130_001501,40,39,0,0,0,5
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S2.jpg,2,20141130_001501,40,156,0,0,0,5
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S3.jpg,3,20141130_001501,40,272,0,0,0,5
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S4.jpg,4,20141130_001501,40,289,0,1,0,0
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S5.jpg,5,20141130_001501,40,308,0,1,0,6
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S6.jpg,6,20141130_001501,40,333,0,0,0,0
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S7.jpg,7,20141130_001501,40,382,0,1,0,6
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S8.jpg,8,20141130_001501,40,411,0,0,0,5
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S9.jpg,9,20141130_001501,40,432,0,0,0,0
ch2_20141130_001501_274_s40,ch2_20141130_001501_274_s40-S10.jpg,10,20141130_001501,40,685,0,0,0,4
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-S1.jpg,1,20141130_001501,93,338,0,0,0,5
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-S2.jpg,2,20141130_001501,93,576,0,0,0,5
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-T1.jpg,1,20141130_001501,93,687,1,0,4,5
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-S3.jpg,3,20141130_001501,93,815,0,0,0,3
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-S4.jpg,4,20141130_001501,93,911,0,0,0,0
ch2_20141130_001501_274_s93,ch2_20141130_001501_274_s93-S5.jpg,5,20141130_001501,93,912,0,0,0,0
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-S1.jpg,1,20141130_002001,123,594,0,0,0,0
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-T1.jpg,1,20141130_002001,123,728,1,0,4,6
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-T2.jpg,2,20141130_002001,123,809,1,1,4,3
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-T3.jpg,3,20141130_002001,123,850,1,1,4,3
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-S2.jpg,2,20141130_002001,123,868,0,0,0,5
ch2_20141130_002001_413_s123,ch2_20141130_002001_413_s123-S3.jpg,3,20141130_002001,123,983,0,0,0,4
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S1.jpg,1,20141130_002001,137,512,0,0,0,1
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S2.jpg,2,20141130_002001,137,610,0,1,0,1
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S3.jpg,3,20141130_002001,137,659,0,0,0,5
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S4.jpg,4,20141130_002001,137,668,0,0,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-T1.jpg,1,20141130_002001,137,697,1,0,4,3
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S6.jpg,6,20141130_002001,137,760,0,0,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S7.jpg,7,20141130_002001,137,794,0,1,0,6
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S8.jpg,8,20141130_002001,137,804,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S9.jpg,9,20141130_002001,137,831,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S10.jpg,10,20141130_002001,137,837,0,0,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S11.jpg,11,20141130_002001,137,849,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S12.jpg,12,20141130_002001,137,870,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S13.jpg,13,20141130_002001,137,881,0,1,0,3
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S14.jpg,14,20141130_002001,137,911,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S16.jpg,16,20141130_002001,137,918,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S17.jpg,17,20141130_002001,137,948,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S18.jpg,18,20141130_002001,137,963,0,1,0,0
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S19.jpg,19,20141130_002001,137,975,0,1,0,6
ch2_20141130_002001_413_s137,ch2_20141130_002001_413_s137-S20.jpg,20,20141130_002001,137,994,0,0,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S1.jpg,1,20141130_002001,138,14,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S2.jpg,2,20141130_002001,138,20,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S3.jpg,3,20141130_002001,138,33,0,1,0,5
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S4.jpg,4,20141130_002001,138,39,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S5.jpg,5,20141130_002001,138,47,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S6.jpg,6,20141130_002001,138,60,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S7.jpg,7,20141130_002001,138,103,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S8.jpg,8,20141130_002001,138,120,0,0,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S9.jpg,9,20141130_002001,138,143,0,1,0,6
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S10.jpg,10,20141130_002001,138,165,0,0,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S11.jpg,11,20141130_002001,138,215,0,0,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S12.jpg,12,20141130_002001,138,224,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S13.jpg,13,20141130_002001,138,239,0,1,0,6
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S14.jpg,14,20141130_002001,138,265,0,1,0,3
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S15.jpg,15,20141130_002001,138,289,0,1,0,1
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S16.jpg,16,20141130_002001,138,312,0,0,0,5
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S17.jpg,17,20141130_002001,138,331,0,1,0,0
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S18.jpg,18,20141130_002001,138,348,0,0,0,1
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S19.jpg,19,20141130_002001,138,445,0,1,0,3
ch2_20141130_002001_413_s138,ch2_20141130_002001_413_s138-S20.jpg,20,20141130_002001,138,493,0,0,0,5
ch2_20141130_002001_413_s33,ch2_20141130_002001_413_s33-S1.jpg,1,20141130_002001,33,443,0,0,0,5
